frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_002904.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2904,90603,7.38,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002907.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2907,90703,7.74,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002910.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2910,90803,7.66,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002913.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2913,90883,7.42,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002916.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2916,91003,7.32,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002919.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2919,91083,7.48,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002922.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2922,91203,7.51,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002925.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2925,91323,7.63,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002928.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2928,91403,7.68,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002931.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2931,91503,7.88,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002934.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2934,91583,8.09,True
Screen_Recording_2026-07-03_at_12.06.59 AM_002937.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2937,91663,1.15,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002940.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2940,91743,2.06,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002943.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2943,91863,2.86,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002946.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2946,91963,4.02,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002949.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2949,92065,4.55,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002952.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2952,92165,4.85,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002955.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2955,92305,5.0,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002958.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2958,92385,5.12,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002961.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2961,92465,5.16,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002964.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2964,92545,5.15,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002967.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2967,92665,5.13,False
